id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
80,AYER,Massachusetts,MA,7703,39.1,2.27,46569,79750,42774
81,DEVENS,Massachusetts,MA,1712,43.4,3.08,18962,50547,17126
82,BALDWINVILLE,Massachusetts,MA,3460,43.3,2.68,31863,60156,31607
83,BARNSTABLE,Massachusetts,MA,2277,48.5,2.69,41268,106299,57700
84,BEDFORD,Massachusetts,MA,14031,43.4,2.61,57317,125208,57969
85,HANSCOM AFB,Massachusetts,MA,2012,23,3.59,45068,93276,27220
86,BELLINGHAM,Massachusetts,MA,16929,40.6,2.66,40935,95533,45200
87,BERLIN,Massachusetts,MA,3098,47.6,2.69,40734,97417,48547
88,BEVERLY,Massachusetts,MA,41431,40.9,2.33,32736,77893,43766
89,BILLERICA,Massachusetts,MA,32348,40.7,2.88,40243,99881,39431
90,BLACKSTONE,Massachusetts,MA,9201,41.6,2.66,38984,80260,35249
91,BOLTON,Massachusetts,MA,5167,42.7,3.05,61429,151618,54618
92,BOSTON,Massachusetts,MA,233796,33.37,1.87,50040.13,86711.4,73306.73
93,ROXBURY,Massachusetts,MA,28152,33.9,2.45,19683,30663,21557
94,ROXBURY CROSSING,Massachusetts,MA,15719,24.1,2.73,14271,32243,18566
95,DORCHESTER,Massachusetts,MA,88376,33.07,2.77,24975.33,45790,24807.33
96,DORCHESTER CENTER,Massachusetts,MA,55074,33.9,2.86,25480,50227,26379
97,MATTAPAN,Massachusetts,MA,29141,37.1,2.89,26417,50039,24797
98,CHARLESTOWN,Massachusetts,MA,18901,35.3,2.11,60146,103834,69219
99,JAMAICA PLAIN,Massachusetts,MA,39435,34.8,2.3,42397,84847,47422
100,ROSLINDALE,Massachusetts,MA,32819,37.8,2.58,34955,72127,36857
101,WEST ROXBURY,Massachusetts,MA,28505,44.4,2.47,45212,93343,46494
102,ALLSTON,Massachusetts,MA,18057,27,2.28,30562,49938,33179
103,BRIGHTON,Massachusetts,MA,42644,29.6,2.2,36749,61566,37923
104,HYDE PARK,Massachusetts,MA,33084,39.1,2.78,31035,64877,29746
105,BOXFORD,Massachusetts,MA,8228,45.9,3.04,53906,155034,64217
106,BOYLSTON,Massachusetts,MA,4524,42.7,2.63,43209,97074,46148
107,BREWSTER,Massachusetts,MA,9736,55.6,2.2,35453,69606,43836
108,BRIDGEWATER,Massachusetts,MA,27434,35,2.88,28543,88640,34692
109,BROCKTON,Massachusetts,MA,95161,35.85,2.93,27468.5,55721,24640.5
110,BROOKFIELD,Massachusetts,MA,3406,44.9,2.39,34229,64219,37864
111,BURLINGTON,Massachusetts,MA,26103,42.2,2.72,44359,99254,45962
112,BUZZARDS BAY,Massachusetts,MA,14218,36.85,2.6,33273,62126,29456
113,BYFIELD,Massachusetts,MA,2812,48.4,2.53,43547,87986,45173
114,CAMBRIDGE,Massachusetts,MA,110977,31.22,2.08,43863.4,93701.4,58664.8
115,CANTON,Massachusetts,MA,22829,41.1,2.49,51356,96583,50869
116,CARLISLE,Massachusetts,MA,5160,50,2.91,64098,170703,87286
117,CARVER,Massachusetts,MA,11617,47.2,2.6,34241,73904,34361
118,CATAUMET,Massachusetts,MA,815,45.9,2.7,28410,88844,35629
119,CENTERVILLE,Massachusetts,MA,9923,50.4,2.28,36823,80072,40368
120,CHARLTON,Massachusetts,MA,13379,43.1,2.71,41900,93921,39167
121,CHATHAM,Massachusetts,MA,4055,59.7,2.11,35299,76793,62405
122,CHELMSFORD,Massachusetts,MA,25961,44.5,2.64,50793,115533,51331
123,CHILMARK,Massachusetts,MA,1757,41.5,3.74,31319,79792,43101
124,CLINTON,Massachusetts,MA,13855,38.9,2.48,33604,68362,33410
125,COHASSET,Massachusetts,MA,8393,44.6,2.73,52429,140000,75885
126,CONCORD,Massachusetts,MA,19383,46.6,2.58,62134,137547,68083
127,COTUIT,Massachusetts,MA,3301,53.7,2.11,33607,62021,48393
128,NORTH TRURO,Massachusetts,MA,942,54.8,2.15,35265,60250,33112
129,NORWELL,Massachusetts,MA,10897,43.3,2.94,50528,128563,58318
130,NORWOOD,Massachusetts,MA,29121,40.6,2.44,42303,87516,43258
131,OAK BLUFFS,Massachusetts,MA,4675,43,2.71,49735,66091,39578
133,ORLEANS,Massachusetts,MA,5905,60.4,2.01,30707,61506,41184
134,OSTERVILLE,Massachusetts,MA,3257,56.7,2.16,35713,75000,65047
135,OXFORD,Massachusetts,MA,11386,39.7,2.62,35642,68865,31306
136,PEABODY,Massachusetts,MA,52313,44.4,2.44,32318,65060,35077
137,PEMBROKE,Massachusetts,MA,18230,42.5,2.8,42264,101447,40887
138,PEPPERELL,Massachusetts,MA,12049,42.9,2.77,41386,90029,40919
139,PLYMOUTH,Massachusetts,MA,58500,45.5,2.53,36676,83746,41368
140,PLYMPTON,Massachusetts,MA,2912,44.5,2.9,45429,87438,39378
141,POCASSET,Massachusetts,MA,4028,53.5,2.22,30056,71741,42840
142,PRINCETON,Massachusetts,MA,3438,48.4,2.66,52140,128006,59891
143,PROVINCETOWN,Massachusetts,MA,2952,54.9,1.66,30166,47500,42402
144,RANDOLPH,Massachusetts,MA,33980,41.7,2.75,32012,70163,32247
145,READING,Massachusetts,MA,24894,42.5,2.73,51637,113553,51120
146,ROCHDALE,Massachusetts,MA,2299,48.2,2.71,40851,100000,39122
147,ROCKLAND,Massachusetts,MA,17849,41.2,2.57,36611,77573,35556
148,ROCKPORT,Massachusetts,MA,7184,53.4,2.22,35796,72015,43976
149,ROWLEY,Massachusetts,MA,6232,44.3,2.82,37642,89338,45342
150,RUTLAND,Massachusetts,MA,8463,40.2,2.9,43175,100962,37904
152,SAGAMORE BEACH,Massachusetts,MA,3008,46.3,2.42,41144,86310,45811
153,SALEM,Massachusetts,MA,42991,36.1,2.25,31442,65476,35379
154,SANDWICH,Massachusetts,MA,9501,51.5,2.42,35810,84087,43441
155,SCITUATE,Massachusetts,MA,18042,47.1,2.68,49439,114766,54496
156,SHARON,Massachusetts,MA,18148,43.1,2.91,58047,133229,63698
157,SHERBORN,Massachusetts,MA,4302,45,2.91,52887,170872,75852
158,SHIRLEY,Massachusetts,MA,7572,42.3,2.51,37145,67541,31903
159,SHREWSBURY,Massachusetts,MA,36269,41.7,2.81,45019,101229,45803
160,FAYVILLE,Massachusetts,MA,501,35,3.19,67917,123992,41878
161,SOUTHBOROUGH,Massachusetts,MA,9520,43.2,2.88,55070,143375,64905
162,SOUTHBRIDGE,Massachusetts,MA,16858,40.1,2.4,25526,50202,25977
164,SOUTH CHATHAM,Massachusetts,MA,1030,54.7,2.14,30906,57540,42638
165,SOUTH DENNIS,Massachusetts,MA,6657,56.7,2.04,30485,54924,37433
166,SOUTH EASTON,Massachusetts,MA,9938,42.6,2.71,41576,94457,41819
167,SOUTH GRAFTON,Massachusetts,MA,4477,38.1,2.6,44733,85390,45027
168,SOUTH HAMILTON,Massachusetts,MA,7991,40.5,2.92,41115,112250,46157
170,SOUTH WALPOLE,Massachusetts,MA,1572,39.9,3.47,34125,115333,33053
