id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
2631,WEST COXSACKIE,New York,NY,1968,51.7,2.77,34181,83533,39970
2632,CRANBERRY LAKE,New York,NY,196,60.9,1.9,23036,35625,28944
2633,CROGHAN,New York,NY,1983,41.7,2.67,22813,47679,21347
2634,CROPSEYVILLE,New York,NY,1713,44.3,2.39,39044,66579,33465
2635,CROWN POINT,New York,NY,1834,44.9,2.46,28598,52878,26732
2636,DANNEMORA,New York,NY,3916,36,2.64,23074,46500,4284
2637,DAVENPORT,New York,NY,963,52.6,2.35,19792,41583,25920
2639,DEANSBORO,New York,NY,1500,36.5,2.7,33651,61932,27349
2640,DEFERIET,New York,NY,180,31.5,2.28,32500,44750,23658
2641,DE KALB JUNCTION,New York,NY,1361,40.3,2.64,23105,51513,20910
2642,DELANSON,New York,NY,4965,40.1,3.29,36919,85721,31687
2643,DELANCEY,New York,NY,832,52.4,2.43,31615,54583,41300
2644,DELHI,New York,NY,5692,29.5,2.2,16994,52192,24746
2645,DELMAR,New York,NY,17100,42.3,2.46,52965,100677,50729
2647,DE PEYSTER,New York,NY,364,37.6,2.98,27000,69375,21774
2648,DEPOSIT,New York,NY,3368,47.8,2.35,23333,38690,23532
2649,DE RUYTER,New York,NY,1627,45.9,2.73,29323,54375,24007
2650,DEXTER,New York,NY,4109,42.2,2.65,27330,53250,25476
2651,DIAMOND POINT,New York,NY,1032,57.9,2.08,27163,64231,46475
2652,DICKINSON CENTER,New York,NY,786,38.1,2.76,26964,48750,21265
2653,DOLGEVILLE,New York,NY,4164,40.3,2.48,24895,43810,21723
2654,DOWNSVILLE,New York,NY,1145,53.6,2.13,23420,43438,25901
2655,DRYDEN,New York,NY,4857,41.9,2.54,29770,66136,34499
2656,DUANESBURG,New York,NY,2388,43.1,3.45,28533,84150,31737
2657,DURHAMVILLE,New York,NY,1545,43.1,3.09,31649,65714,21879
2658,EAGLE BAY,New York,NY,144,67.2,1.66,43068,45250,42237
2659,BUSKIRK,New York,NY,945,40.6,2.98,37679,69338,30238
2660,EAGLE BRIDGE,New York,NY,2162,48.7,2.49,30514,60625,26963
2661,EARLTON,New York,NY,1741,36.9,2.95,35528,82768,28312
2662,SURPRISE,New York,NY,478,48.2,3.54,33056,75846,27371
2663,EARLVILLE,New York,NY,2739,38,2.7,29148,50262,22905
2664,EAST BERNE,New York,NY,1657,48.6,2.57,41153,84091,37010
2665,EAST BRANCH,New York,NY,412,49.3,2.26,28162,51250,28130
2666,EAST CHATHAM,New York,NY,1478,49.4,2.32,32734,71500,43088
2667,EAST GREENBUSH,New York,NY,9106,44.4,2.44,42417,82378,43518
2668,EAST MEREDITH,New York,NY,1294,45.8,2.47,27305,54123,27394
2669,EAST NASSAU,New York,NY,1700,41.1,2.63,41585,72500,31754
2670,EAST SCHODACK,New York,NY,361,34.3,2.62,35179,81607,38766
2671,EAST SYRACUSE,New York,NY,13894,46.2,2.25,31825,58788,31686
2672,EAST WORCESTER,New York,NY,370,59.4,1.81,32639,44545,26590
2673,EATON,New York,NY,1205,37.2,2.97,36139,62500,30680
2674,EDMESTON,New York,NY,1488,45.3,2.43,28955,59306,29069
2675,EDWARDS,New York,NY,1079,43,2.58,24653,48021,20683
2676,ELBRIDGE,New York,NY,2974,47,2.62,30665,69107,29100
2677,ELIZABETHTOWN,New York,NY,1312,55.3,2.17,29447,47950,28086
2679,ELLENBURG CENTER,New York,NY,955,44.9,2.41,23179,43036,22055
2680,ELLENBURG DEPOT,New York,NY,1530,45.4,2.36,24890,49563,25148
2681,ELLISBURG,New York,NY,318,37,2.63,27813,67625,24710
2682,ENDICOTT,New York,NY,43670,44.1,2.25,29256,54972,30955
2683,ERIEVILLE,New York,NY,1039,49.8,2.39,35875,68889,31991
2684,ESPERANCE,New York,NY,1831,45,2.36,35746,62284,33528
2685,ESSEX,New York,NY,452,55,2.17,36771,64167,35147
2687,EVANS MILLS,New York,NY,4281,27.3,2.33,29688,52379,25759
2688,FABIUS,New York,NY,1914,39.7,2.99,30528,82500,34232
2690,FAYETTEVILLE,New York,NY,12467,45.9,2.41,46167,84193,52702
2691,FELTS MILLS,New York,NY,332,30.5,2.29,35522,38920,18782
2692,FEURA BUSH,New York,NY,1619,49.1,2.71,30707,75909,32224
2693,FINE,New York,NY,263,43.5,2.44,20563,48750,27051
2694,WELLESLEY ISLAND,New York,NY,394,64.1,2.01,32917,46667,44356
2695,THOUSAND ISLAND PARK,New York,NY,55,73.3,1.77,30694,57946,28647
2697,FISHS EDDY,New York,NY,168,28.8,2.8,16726,33750,14305
2698,FLY CREEK,New York,NY,708,51.7,2.16,28438,69286,45913
2699,FONDA,New York,NY,2958,44.2,2.39,26412,58673,29957
2700,FORESTPORT,New York,NY,1140,55.5,2.05,28243,50652,28045
2701,FORT ANN,New York,NY,3751,40.6,2.61,31218,62404,27248
2702,FORT COVINGTON,New York,NY,1960,36.4,2.76,24668,44609,19378
2703,FORT EDWARD,New York,NY,8703,45.1,2.36,27363,50320,28804
2704,FORT HUNTER,New York,NY,167,36.1,2.29,32188,38984,16428
2705,FORT JOHNSON,New York,NY,1632,47.2,2.59,27456,65433,36261
2706,FORT PLAIN,New York,NY,6299,43.1,2.57,25769,45300,22199
2707,FRANKFORT,New York,NY,8268,44.1,2.57,24986,53831,25259
2708,FRANKLIN,New York,NY,1750,52.3,2.37,27899,52176,30399
2709,TREADWELL,New York,NY,331,59.2,2.28,14167,31250,19079
2710,FRANKLIN SPRINGS,New York,NY,132,42.8,2.49,56563,112891,45345
2711,FREEVILLE,New York,NY,5500,36.5,2.39,31211,61761,28112
2712,FULTON,New York,NY,24728,38.7,2.66,24578,46300,24424
2713,FULTONHAM,New York,NY,360,38.8,2.88,35417,52375,25105
2714,FULTONVILLE,New York,NY,2722,34,2.77,26675,50156,22859
2715,GABRIELS,New York,NY,233,37.7,2.2,37750,56389,32674
2716,GALWAY,New York,NY,2814,48.3,2.3,33603,71314,37221
2717,GANSEVOORT,New York,NY,17585,40.1,2.68,39563,82443,35736
2718,GENOA,New York,NY,834,48.7,2.36,31016,61607,30807
2719,GEORGETOWN,New York,NY,612,51.9,2.45,24250,53000,24670
2720,GHENT,New York,NY,3070,48.9,2.53,28698,61922,28185
2721,GILBERTSVILLE,New York,NY,524,54.4,2.43,25938,55313,29190
2722,GILBOA,New York,NY,1552,48.8,2.48,25881,57778,26983
2723,GLEN AUBREY,New York,NY,390,51.7,2.71,23295,63750,26024
2724,BRANTINGHAM,New York,NY,424,55.5,2.27,31875,49583,32007
2725,GLENFIELD,New York,NY,1794,46.5,2.48,29272,59306,28043
2726,GREIG,New York,NY,158,41.5,2.29,38250,93173,40452
2727,GLENMONT,New York,NY,6701,43.2,2.61,45901,98716,49883
2728,GLENS FALLS,New York,NY,14450,38.3,2.23,28994,48901,28645
2729,SOUTH GLENS FALLS,New York,NY,8350,44.5,2.32,30242,60371,29568
2730,QUEENSBURY,New York,NY,26381,46.2,2.43,32735,70273,37107
2731,GLOVERSVILLE,New York,NY,23566,42.9,2.31,23982,40692,23367
2732,GOUVERNEUR,New York,NY,9882,38.6,2.51,21606,40619,19266
2733,GRANVILLE,New York,NY,6738,46.9,2.46,23836,41635,22171
2734,GREENE,New York,NY,5703,42.9,2.51,28904,57365,27425
2735,GREENFIELD CENTER,New York,NY,4388,44.7,2.55,35103,80469,35867
2736,GREENVILLE,New York,NY,3705,47.7,2.56,31558,72035,32705
2737,GREENWICH,New York,NY,6392,47.1,2.49,30785,72523,36639
2738,GROTON,New York,NY,6462,42.6,2.39,28379,58125,30841
2739,GUILDERLAND,New York,NY,4960,32.4,2.35,41526,64868,39130
2740,GUILDERLAND CENTER,New York,NY,448,32.9,2.54,25114,43710,17054
2741,GUILFORD,New York,NY,902,49.1,2.25,28274,50977,25985
2742,HADLEY,New York,NY,2366,53.2,2.26,29219,55893,29212
2743,HAGAMAN,New York,NY,1565,51.6,2.16,30031,57727,30331
2744,HAGUE,New York,NY,743,52.3,2.33,27169,58281,29927
2745,HAMDEN,New York,NY,670,55.5,2.26,26307,52143,29373
2746,HAMILTON,New York,NY,6210,22.9,2.33,16984,75690,25138
2747,HAMMOND,New York,NY,2243,46.7,2.37,21940,45602,24015
2748,HAMPTON,New York,NY,957,34.2,2.99,30246,60573,24627
2749,HANCOCK,New York,NY,2589,47,2.36,21491,38625,22582
2750,HANNACROIX,New York,NY,1138,31.9,3.4,26566,73720,23168
2752,HANNIBAL,New York,NY,4187,41.2,2.64,24507,54347,22661
2753,HARPERSFIELD,New York,NY,470,47.6,2.53,22212,50625,24178
2754,HARPURSVILLE,New York,NY,3609,41.4,2.62,25238,44177,20989
2756,HARRISVILLE,New York,NY,2376,42.2,2.54,23822,44489,21888
2757,HARTFORD,New York,NY,509,49.6,2.26,33750,59044,29793
2758,HARTWICK,New York,NY,1351,41.3,2.5,31919,52235,29912
2759,HASTINGS,New York,NY,2363,45.8,2.54,31327,54855,29511
2760,HENDERSON,New York,NY,1565,50.2,2.33,27500,60046,44159
2761,HENDERSON HARBOR,New York,NY,156,67.2,1.93,50769,105417,67780
2762,HERKIMER,New York,NY,9891,43.9,2.2,23325,46176,24958
2763,HERMON,New York,NY,1785,46.6,2.5,28112,58281,25184
2764,HEUVELTON,New York,NY,3177,29,3.29,25722,51688,18217
2766,HOBART,New York,NY,1009,51.6,2.4,24438,49800,28401
2768,HOGANSBURG,New York,NY,3398,45.7,2.7,28025,36712,25066
2769,HOLLAND PATENT,New York,NY,3710,42.8,2.75,35882,78618,31672
2770,HOMER,New York,NY,7074,40.9,2.7,31036,60337,29565
2771,HOOSICK,New York,NY,122,54.3,1.85,32212,94904,46023
2772,HOOSICK FALLS,New York,NY,6199,42.3,2.47,26366,49444,25721
2773,HOWES CAVE,New York,NY,730,51.5,2.13,23370,32692,26604
2774,HUBBARDSVILLE,New York,NY,769,37.1,2.5,26172,58611,26429
2775,HUDSON FALLS,New York,NY,13400,37.3,2.58,25051,47407,24367
2776,HULETTS LANDING,New York,NY,99,68.2,1.48,31806,55208,62278
2777,ILION,New York,NY,10768,40.3,2.47,26220,46283,23623
2778,INDIAN LAKE,New York,NY,782,56.4,3.3,17244,55813,21488
2779,INLET,New York,NY,246,36.8,6,29250,54375,24896
2780,JAMESVILLE,New York,NY,10439,46.4,2.52,44992,87596,46598
2781,JAY,New York,NY,1297,52.9,2.4,32200,65099,29609
2782,JEFFERSON,New York,NY,1642,45.5,2.44,26410,51316,25331
2783,JOHNSBURG,New York,NY,369,57.4,2.28,21719,32177,23053
2784,JOHNSON CITY,New York,NY,18053,37.7,2.28,24449,42454,24753
2785,JOHNSONVILLE,New York,NY,2532,35.8,2.77,42938,81850,30922
2786,JOHNSTOWN,New York,NY,12242,41.1,2.39,27768,51022,28164
2787,JORDAN,New York,NY,3410,44.1,2.5,28250,56226,31523
2788,JORDANVILLE,New York,NY,900,37.5,2.91,28796,63125,22586
2789,KATTSKILL BAY,New York,NY,222,51.3,1.91,31635,60469,26659
2790,KEENE,New York,NY,836,50.9,2.16,35577,56528,40873
2791,KEENE VALLEY,New York,NY,320,45.6,1.93,25294,41667,25297
2792,KEESEVILLE,New York,NY,4474,39.63,3.26,26633.33,48000,26728
2793,KILLAWOG,New York,NY,71,30.6,2.96,19196,57500,18151
2794,KINDERHOOK,New York,NY,2441,50.5,2.23,42091,74688,43873
2795,KING FERRY,New York,NY,1068,50.3,2.39,33897,74250,41657
2796,KIRKVILLE,New York,NY,4685,45.5,2.65,31591,72131,30870
2797,KIRKWOOD,New York,NY,3488,44.7,2.37,27512,51987,33231
2799,LACONA,New York,NY,1893,43.2,2.67,26604,63450,25802
2800,LA FARGEVILLE,New York,NY,2944,38.5,3.06,25319,55078,24335
2801,LA FAYETTE,New York,NY,3834,42.5,2.33,34865,63438,32195
2802,LAKE CLEAR,New York,NY,523,41,2.5,29375,62303,26405
2803,LAKE GEORGE,New York,NY,4634,52.2,2.23,31027,67278,39097
2804,LAKE LUZERNE,New York,NY,3273,48.3,2.53,27375,53676,27417
2805,LAKE PLACID,New York,NY,5005,42.8,2.32,28398,60801,32702
2806,LAKE PLEASANT,New York,NY,245,57,2.18,29375,66667,28681
2807,LATHAM,New York,NY,22684,37.9,2.56,30760,76652,32198
2808,LAURENS,New York,NY,1519,44.2,2.52,32604,61458,28190
2809,LEE CENTER,New York,NY,2115,48.4,2.39,37211,59840,30392
2810,LEONARDSVILLE,New York,NY,101,50.3,1.6,30500,31650,24733
2811,LEWIS,New York,NY,840,47.1,2.4,28333,68750,27570
2812,LISBON,New York,NY,2065,44.6,2.46,30313,60000,28300
2813,LISLE,New York,NY,2111,41.9,2.76,24754,49400,21939
2814,LITTLE FALLS,New York,NY,8690,43.1,2.64,24655,50183,24841
2815,LITTLE YORK,New York,NY,152,58.7,1.95,52039,147907,56422
2816,LIVERPOOL,New York,NY,52213,41.5,2.32,35221.5,63299.5,33574.5
2817,LOCKE,New York,NY,2461,41.5,2.53,30684,66838,29061
2818,LONG LAKE,New York,NY,348,54.4,3.04,13125,55694,22074
2819,LORRAINE,New York,NY,494,48.8,2.51,22167,49688,23406
2820,LOWVILLE,New York,NY,8527,41.1,2.66,29454,57679,27322
2821,LYON MOUNTAIN,New York,NY,995,35.65,2.64,26047,47111,25909
2822,LYONS FALLS,New York,NY,1170,46.5,2.43,29455,46920,24068
2823,MC DONOUGH,New York,NY,1442,46,2.27,21615,37426,20687
2824,MC GRAW,New York,NY,2338,37.9,2.56,31094,63381,25761
2826,MADISON,New York,NY,1979,50.3,2.5,25507,52241,24679
2827,MADRID,New York,NY,1716,40.6,2.56,25202,48618,23275
2828,MAINE,New York,NY,761,44.5,3.24,22974,59438,22677
2830,MALLORY,New York,NY,320,40.6,2.5,35265,67632,24508
2831,MALONE,New York,NY,15778,37,2.34,25208,49561,19290
2832,MANLIUS,New York,NY,16164,43.3,2.69,45757,105000,51714
2833,MANNSVILLE,New York,NY,1435,43.2,2.77,34000,73462,29155
2834,MARATHON,New York,NY,4096,40.1,2.71,26211,58493,26204
2835,MARCELLUS,New York,NY,6139,45.9,2.52,35198,74490,37563
2836,MARCY,New York,NY,7504,41,2.62,27931,80568,28988
2837,MARIETTA,New York,NY,2298,49.5,2.42,38085,77431,38560
2838,MARTINSBURG,New York,NY,170,49.8,2.21,19896,41250,20248
2839,MARTVILLE,New York,NY,1619,48.3,2.62,17939,46685,19709
2840,MARYLAND,New York,NY,1883,54,2.29,25512,50278,25634
2841,MASONVILLE,New York,NY,414,45.8,2.37,24355,55917,29217
2842,MASSENA,New York,NY,16481,43.1,2.22,27042,47394,26194
2843,MAYFIELD,New York,NY,3279,46.6,2.31,29009,55417,28158
2844,MECHANICVILLE,New York,NY,14981,40.1,2.32,37139,70042,38019
2845,MEDUSA,New York,NY,587,49.6,2.46,36343,49732,32615
2846,MELROSE,New York,NY,1680,46.6,2.75,35283,79817,32726
2847,MEMPHIS,New York,NY,1850,47.1,2.65,30787,58500,26919
2848,MERIDALE,New York,NY,282,49.4,2.33,30455,40313,25626
2849,MERIDIAN,New York,NY,279,33.9,3.13,33571,71094,24722
2850,MEXICO,New York,NY,6818,36.4,2.76,27388,59590,26370
2851,MIDDLEBURGH,New York,NY,4598,48.2,2.22,27443,45188,26841
2852,MIDDLE GRANVILLE,New York,NY,359,63.3,2.37,36341,66635,30300
2853,MIDDLE GROVE,New York,NY,3291,39.5,2.63,36045,76316,34501
2854,MIDDLEVILLE,New York,NY,670,46.3,2.38,27083,50700,29858
2855,MILFORD,New York,NY,1185,48.1,2.3,27953,49667,31095
2856,MINERVA,New York,NY,276,62.7,2,21250,39792,24532
2857,MINETTO,New York,NY,175,37.5,1.67,29000,50909,33693
2858,MINEVILLE,New York,NY,1326,31.5,3.12,20063,57188,21414
2859,WITHERBEE,New York,NY,334,48.5,1.81,31985,42734,26807
2860,MINOA,New York,NY,3527,38.5,2.52,31909,58116,28348
2861,MOHAWK,New York,NY,5200,45.8,2.41,25290,48125,24286
2862,MOIRA,New York,NY,1816,39.9,2.51,22725,39006,19511
2863,MONTEZUMA,New York,NY,281,41.7,2.9,26406,47417,19982
2864,MOOERS,New York,NY,2174,45.9,2.18,32317,50625,30256
2865,MOOERS FORKS,New York,NY,1321,49.1,2.06,25810,37601,21674
2866,MORAVIA,New York,NY,6155,41.8,2.45,29580,54901,23161
2867,MORIAH,New York,NY,1221,45.8,2.81,32117,79622,29485
2868,MORIAH CENTER,New York,NY,294,53.1,1.99,25069,28980,16676
2869,MORRIS,New York,NY,1464,46.5,2.56,25698,53095,29664
2870,MORRISONVILLE,New York,NY,5787,45.4,2.4,39638,71033,33424
2871,MORRISTOWN,New York,NY,328,42.4,2.27,28750,68125,29764
2872,MORRISVILLE,New York,NY,4065,22.4,2.48,14932,52162,15649
2873,MOUNT UPTON,New York,NY,1729,44,2.46,28884,52734,24776
2874,MOUNT VISION,New York,NY,1060,50.6,2.13,23073,44489,29910
2875,MUNNSVILLE,New York,NY,2601,40.1,2.77,27853,51923,23173
2876,NASSAU,New York,NY,5684,40.9,2.59,41299,82478,36239
2877,NATURAL BRIDGE,New York,NY,929,48,2.88,26857,63068,27142
2878,NEDROW,New York,NY,2273,40.1,2.82,25698,65091,29347
2879,NELLISTON,New York,NY,286,40.7,2.83,29167,56250,22676
2880,NEWARK VALLEY,New York,NY,4476,42,2.61,32069,59009,34550
2881,NEW BALTIMORE,New York,NY,661,42.6,2.63,24827,98220,43012
2882,NEW BERLIN,New York,NY,3297,47,2.41,23429,46286,23277
2883,NEWCOMB,New York,NY,444,60.4,1.95,28550,46500,29386
2884,NEW HARTFORD,New York,NY,16297,47.1,2.33,33948,68731,38644
2885,NEW LEBANON,New York,NY,1534,36.9,2.36,36766,54015,35491
2886,NEWPORT,New York,NY,2319,42.4,2.53,30618,53309,26294
2888,NEWTON FALLS,New York,NY,241,45.2,2.43,21029,23917,25900
2889,NEW WOODSTOCK,New York,NY,1377,37.1,3.05,29375,78235,25746
2890,NEW YORK MILLS,New York,NY,3503,41.5,2.12,27738,37427,24746
2891,NICHOLS,New York,NY,2512,40.3,2.61,28070,56042,24865
2892,NICHOLVILLE,New York,NY,558,38.5,3.1,22500,41375,19171
2893,NINEVEH,New York,NY,510,59.2,2.74,28281,50375,23047
2895,NORFOLK,New York,NY,2976,33.6,2.52,25494,42917,20294
2896,NORTH BANGOR,New York,NY,2717,37.3,2.54,21135,47500,21742
2897,NORTH BAY,New York,NY,491,27,4.86,33512,55825,13433
2899,NORTH CHATHAM,New York,NY,312,43.6,2.46,24111,49395,19676
2900,NORTH CREEK,New York,NY,1681,52.3,2.42,21497,38813,21324
2901,NORTH HUDSON,New York,NY,224,54.5,1.93,31458,45000,26740
2902,NORTH LAWRENCE,New York,NY,1216,36.2,2.87,22412,43950,19465
2903,NORTH PITCHER,New York,NY,86,47.6,2.21,28750,46250,25588
2905,NORTHVILLE,New York,NY,4134,41.1,2.79,26844,53269,26240
2906,NORWICH,New York,NY,13172,40.9,2.35,24889,47031,24924
2907,NORWOOD,New York,NY,3533,42.4,2.26,28276,51905,28517
2908,OGDENSBURG,New York,NY,15733,42.8,2.25,26211,46905,26418
2909,OLD CHATHAM,New York,NY,772,51.9,2.23,41864,102829,55071
2910,OLD FORGE,New York,NY,1080,57.9,1.93,32250,53938,34031
2912,OLMSTEDVILLE,New York,NY,587,42.1,2.95,28056,56875,25156
2913,ONEIDA,New York,NY,13638,41.8,2.41,27481,46466,25565
2914,ONEONTA,New York,NY,21960,29.2,2.25,15133,46659,23105
2915,ORISKANY,New York,NY,2560,43.9,2.16,26616,54063,26216
2916,ORISKANY FALLS,New York,NY,2333,39.1,2.65,28018,48000,23544
2917,OSWEGO,New York,NY,36250,35.5,2.34,21199,50104,26169
2918,OTEGO,New York,NY,3349,48.6,2.36,25686,53750,26695
2919,OWEGO,New York,NY,11279,47.3,2.2,30543,52538,30837
2920,OWLS HEAD,New York,NY,497,49.1,2.13,25331,41058,23927
2921,OXFORD,New York,NY,5094,47.5,2.31,24781,47679,25004
2922,PALATINE BRIDGE,New York,NY,1730,36.9,2.59,24609,40625,21576
2923,PARISH,New York,NY,3761,43.8,2.68,24340,56505,28319
2924,PARISHVILLE,New York,NY,868,29.7,2.58,31324,53359,23769
2925,PATTERSONVILLE,New York,NY,1998,39.1,2.91,29000,64213,27285
2926,PAUL SMITHS,New York,NY,975,20.3,2.27,5745,54167,13544
2927,PENNELLVILLE,New York,NY,3575,47.9,2.4,35103,60185,29995
2928,PERU,New York,NY,5624,44,2.52,31438,67794,32556
2929,PETERBORO,New York,NY,181,33.8,3.23,33173,73929,22621
2930,PETERSBURG,New York,NY,3153,46.3,2.32,33365,58036,31427
2931,PHILADELPHIA,New York,NY,2314,34.1,2.48,26393,49205,25073
2932,PHOENIX,New York,NY,6533,41,2.51,28141,52545,28409
2933,PIERCEFIELD,New York,NY,112,58.1,2.33,40500,61071,27492
2934,PIERREPONT MANOR,New York,NY,177,5.8,4.43,48371,48854,12881
2935,PISECO,New York,NY,309,63.2,5.24,16142,57750,24503
2936,PITCHER,New York,NY,389,45.8,2.09,26250,42045,23195
2937,PLATTSBURGH,New York,NY,34389,45.15,2.04,31506.5,53094,30762.5
2938,PLYMOUTH,New York,NY,669,39.2,2.9,19545,40313,20335
2939,POESTENKILL,New York,NY,1521,46.7,2.4,55381,94226,39334
2940,POLAND,New York,NY,1778,41.1,2.61,31250,54091,28858
2941,PORT BYRON,New York,NY,4530,42.3,2.52,25274,53598,25477
2942,PORT CRANE,New York,NY,4131,45.8,2.41,25343,55013,27184
2943,PORTER CORNERS,New York,NY,2122,38.4,2.45,35580,66250,32629
2944,PORT HENRY,New York,NY,1520,50.6,2.28,25643,51389,29379
2946,PORTLANDVILLE,New York,NY,238,27.1,3.72,29201,71037,16393
2947,PORT LEYDEN,New York,NY,1862,35.5,2.74,24595,46314,19315
2948,POTSDAM,New York,NY,17097,24.3,2.29,15167,50000,21047
2949,POTTERSVILLE,New York,NY,622,31.9,2.32,25227,65286,29139
2950,PREBLE,New York,NY,702,32.2,2.81,25347,51154,22026
2951,PROSPECT,New York,NY,285,42.3,2.59,33839,58000,25944
2952,PULASKI,New York,NY,5972,41.7,2.43,26662,46161,24790
2953,PUTNAM STATION,New York,NY,639,55.1,2.16,34500,54333,39650
2955,RAINBOW LAKE,New York,NY,213,51.9,2.09,40313,68750,38664
2956,RAQUETTE LAKE,New York,NY,125,73.1,4.17,42216,56250,43835
2957,RAVENA,New York,NY,4750,43,2.36,31203,55179,28977
2960,RED CREEK,New York,NY,2805,40.6,2.55,26106,52645,20797
2961,REDFIELD,New York,NY,409,50.2,2.38,26193,50833,24242
2963,REDWOOD,New York,NY,2044,39.8,2.72,21512,46563,23511
2964,REMSEN,New York,NY,3389,50.3,2.36,28281,51332,28626
2965,RENSSELAER,New York,NY,20391,40.5,2.27,35935,65591,34774
2966,RENSSELAER FALLS,New York,NY,1477,35.2,2.86,20878,36389,19575
2967,RENSSELAERVILLE,New York,NY,586,48.8,2.54,36250,69375,34427
2968,REXFORD,New York,NY,4716,44.7,2.52,51809,107302,47534
2970,RICHFIELD SPRINGS,New York,NY,3656,45.4,2.32,25744,50775,26658
2971,HARFORD,New York,NY,115,24.9,2.8,22500,29712,14390
2972,RICHFORD,New York,NY,1339,44.3,2.58,23361,50441,26332
2973,RICHLAND,New York,NY,2046,33.5,3.07,22196,46635,19126
2974,RICHMONDVILLE,New York,NY,2445,43.5,2.52,26352,51417,25170
2975,RICHVILLE,New York,NY,829,31.4,2.76,24980,53333,23344
2977,ROCK CITY FALLS,New York,NY,763,39.3,2.77,48864,116125,40279
2978,RODMAN,New York,NY,854,44.8,2.81,32146,65625,29205
2979,ROME,New York,NY,42354,32.7,2.4,27325,51580,26966
2980,ROTTERDAM JUNCTION,New York,NY,903,44.7,3.16,33417,66944,27849
2981,ROUND LAKE,New York,NY,694,50.4,2.14,40662,83681,47792
2982,ROUSES POINT,New York,NY,2141,43.7,2.18,30646,57727,31079
2983,RUSSELL,New York,NY,1099,37,2.58,31926,46731,25850
2985,SACKETS HARBOR,New York,NY,2461,33,2.43,34554,57212,29649
2986,SAINT JOHNSVILLE,New York,NY,4556,40.7,2.47,22809,41591,21763
2987,SAINT REGIS FALLS,New York,NY,1265,47.2,2.39,23370,41477,21082
2988,SALEM,New York,NY,3808,47,2.35,27979,60172,26418
2989,SALISBURY CENTER,New York,NY,644,37.8,2.11,23125,37500,19668
2990,SAND LAKE,New York,NY,1053,41.7,2.95,30800,78942,29839
2991,SANDY CREEK,New York,NY,1781,43.3,2.33,27517,51028,26108
2992,SARANAC,New York,NY,2226,39.9,2.27,32097,64167,29258
2993,SARANAC LAKE,New York,NY,7531,47.2,2.13,32818,55365,31517
2994,SARATOGA SPRINGS,New York,NY,38758,43.2,2.11,37212,77977,47910
2995,SAUQUOIT,New York,NY,4107,44.5,2.56,30767,66049,33869
2996,SAVANNAH,New York,NY,2211,46,2.68,25668,49722,23111
2997,SCHAGHTICOKE,New York,NY,2809,43.7,2.65,31108,65890,30395
2998,ALPLAUS,New York,NY,513,41.5,3.13,43214,103472,39391
2999,SCHENECTADY,New York,NY,162346,38.35,2.72,27969.88,56349,28206.12
3000,SCHENEVUS,New York,NY,1808,46.1,2.47,22549,49250,23493
3001,SCHODACK LANDING,New York,NY,1068,36.8,2.77,45357,68393,33812
3002,SCHOHARIE,New York,NY,3967,49.2,2.39,31056,59500,31060
3003,SCHROON LAKE,New York,NY,1219,46.4,2.44,21223,48542,26274
3004,SCHUYLER FALLS,New York,NY,1352,38.1,2.38,19677,41312,20403
3005,SCHUYLERVILLE,New York,NY,4356,39.5,2.62,32362,68493,34002
3006,SCIPIO CENTER,New York,NY,1316,40.1,2.6,29306,54792,30650
3007,SELKIRK,New York,NY,7116,40,2.74,40713,85458,37901
3008,SENECA FALLS,New York,NY,10585,42.3,2.31,27032,52331,29771
3009,SEVERANCE,New York,NY,42,49.7,2.47,19063,29625,12933
3010,SHARON SPRINGS,New York,NY,2292,42.4,2.52,27300,50943,26550
3011,SHERBURNE,New York,NY,4262,44.7,2.29,23100,44471,25177
3012,SHERRILL,New York,NY,3054,46.9,2.38,30320,58795,31695
3013,SHUSHAN,New York,NY,784,50,2.25,23287,47917,25903
3014,SIDNEY,New York,NY,4434,37.4,2.38,26127,37981,21872
3015,SIDNEY CENTER,New York,NY,1092,56.3,2.19,23170,44792,22933
3016,SILVER BAY,New York,NY,148,70.5,1.7,45234,71458,53741
3017,SKANEATELES,New York,NY,8208,52,2.29,42348,85556,61162
3018,SKANEATELES FALLS,New York,NY,343,53,2.21,25366,43750,25218
3019,SLINGERLANDS,New York,NY,7614,48.6,2.28,50034,86991,60495
3020,SLOANSVILLE,New York,NY,945,45.9,2.73,27381,66667,31467
3021,SMITHVILLE FLATS,New York,NY,571,45.2,2.53,26979,39091,24972
3022,SMYRNA,New York,NY,1392,45.2,2.44,21250,42197,24692
3023,SOUTH BETHLEHEM,New York,NY,187,34,2.28,32044,78750,37228
3024,SOUTH COLTON,New York,NY,438,49,2.32,23750,47292,28066
3025,SOUTH KORTRIGHT,New York,NY,524,45.9,2.26,27115,66964,26219
3026,SOUTH NEW BERLIN,New York,NY,2198,44.7,2.55,29549,50927,23240
3027,SOUTH OTSELIC,New York,NY,662,45.3,2.27,26071,51750,27703
3028,SOUTH PLYMOUTH,New York,NY,852,40,2.84,22532,47188,19606
3029,SPECULATOR,New York,NY,354,63,5.68,30950,65625,32253
3031,SPRAKERS,New York,NY,1353,42.2,2.48,29036,44659,25355
3032,SPRINGFIELD CENTER,New York,NY,419,35.6,2.69,33984,58750,26402
3033,STAMFORD,New York,NY,2844,50.4,2.34,22126,45650,26461
