id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,household_income
67,NORTH BROOKFIELD,Massachusetts,MA,4760.0,44.4,2.61,35955.0,31764.0,31764.0
68,NORTH CHATHAM,Massachusetts,MA,906.0,64.2,2.02,43438.0,38016.0,38016.0
69,NORTH CHELMSFORD,Massachusetts,MA,9106.0,44.2,2.33,43645.0,44528.0,44528.0
70,NORTH EASTON,Massachusetts,MA,14063.0,30.6,3.1,23731.5,27498.0,27498.0
71,NORTH FALMOUTH,Massachusetts,MA,2869.0,63.7,1.99,40146.0,55545.0,55545.0
72,NORTH GRAFTON,Massachusetts,MA,7709.0,39.5,2.66,46014.0,44374.0,44374.0
73,NORTH OXFORD,Massachusetts,MA,2337.0,33.1,2.65,29934.0,28911.0,28911.0
74,NORTH READING,Massachusetts,MA,15598.0,44.3,2.85,50676.0,52597.0,52597.0
75,ASHBURNHAM,Massachusetts,MA,6210.0,41.1,2.96,40300.0,33886.0,33886.0
76,ASHBY,Massachusetts,MA,3195.0,45.9,2.89,40879.0,36900.0,36900.0
77,ASHLAND,Massachusetts,MA,17478.0,41.7,2.6,52584.0,52647.0,52647.0
78,AUBURN,Massachusetts,MA,16412.0,46.8,2.45,37253.0,38476.0,38476.0
79,AVON,Massachusetts,MA,4468.0,43.6,2.84,33556.0,32011.0,32011.0
80,AYER,Massachusetts,MA,7703.0,39.1,2.27,46569.0,42774.0,42774.0
81,DEVENS,Massachusetts,MA,1712.0,43.4,3.08,18962.0,17126.0,17126.0
82,BALDWINVILLE,Massachusetts,MA,3460.0,43.3,2.68,31863.0,31607.0,31607.0
83,BARNSTABLE,Massachusetts,MA,2277.0,48.5,2.69,41268.0,57700.0,57700.0
84,BEDFORD,Massachusetts,MA,14031.0,43.4,2.61,57317.0,57969.0,57969.0
85,HANSCOM AFB,Massachusetts,MA,2012.0,23.0,3.59,45068.0,27220.0,27220.0
86,BELLINGHAM,Massachusetts,MA,16929.0,40.6,2.66,40935.0,45200.0,45200.0
